著者__受賞・最終候補作,受賞作,著者名,ISBN10,ImageURL,賞名,Calil
有栖川有栖__日本扇の謎,日本扇の謎,有栖川有栖,4065364213,https://images-na.ssl-images-amazon.com/images/P/4065364213.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門10_日本扇の謎_有栖川有栖,https://calil.jp/book/4065364213
森見登美彦__シャーロック・ホームズの凱旋,シャーロック・ホームズの凱旋,森見登美彦,4120057348,https://images-na.ssl-images-amazon.com/images/P/4120057348.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門10_シャーロック・ホームズの凱旋_森見登美彦,https://calil.jp/book/4120057348
方丈貴恵__少女には向かない完全犯罪,少女には向かない完全犯罪,方丈貴恵,4065367107,https://images-na.ssl-images-amazon.com/images/P/4065367107.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門09_少女には向かない完全犯罪_方丈貴恵,https://calil.jp/book/4065367107
芦辺拓__乱歩殺人事件――「悪霊」ふたたび,乱歩殺人事件――「悪霊」ふたたび,芦辺拓,4041146356,https://images-na.ssl-images-amazon.com/images/P/4041146356.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門08_乱歩殺人事件――「悪霊」ふたたび_芦辺拓,https://calil.jp/book/4041146356
今村昌弘__明智恭介の奔走,明智恭介の奔走,今村昌弘,448802906X,https://images-na.ssl-images-amazon.com/images/P/448802906X.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門07_明智恭介の奔走_今村昌弘,https://calil.jp/book/448802906X
白井智之__ぼくは化け物きみは怪物,ぼくは化け物きみは怪物,白井智之,4334104037,https://images-na.ssl-images-amazon.com/images/P/4334104037.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門06_ぼくは化け物きみは怪物_白井智之,https://calil.jp/book/4334104037
呉勝浩__法廷占拠 爆弾2,法廷占拠 爆弾2,呉勝浩,4065363047,https://images-na.ssl-images-amazon.com/images/P/4065363047.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門05_法廷占拠 爆弾2_呉勝浩,https://calil.jp/book/4065363047
永嶋恵美__檜垣澤家の炎上,檜垣澤家の炎上,永嶋恵美,4101054517,https://images-na.ssl-images-amazon.com/images/P/4101054517.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門04_檜垣澤家の炎上_永嶋恵美,https://calil.jp/book/4101054517
山口未桜__禁忌の子,禁忌の子,山口未桜,4488025692,https://images-na.ssl-images-amazon.com/images/P/4488025692.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門03_禁忌の子_山口未桜,https://calil.jp/book/4488025692
米澤穂信__冬期限定ボンボンショコラ事件,冬期限定ボンボンショコラ事件,米澤穂信,4488451128,https://images-na.ssl-images-amazon.com/images/P/4488451128.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門02_冬期限定ボンボンショコラ事件_米澤穂信,https://calil.jp/book/4488451128
青崎有吾__地雷グリコ,地雷グリコ,青崎有吾,404111165X,https://images-na.ssl-images-amazon.com/images/P/404111165X.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_国内部門01_地雷グリコ_青崎有吾,https://calil.jp/book/404111165X
ピエール・ルメートル__邪悪なる大蛇,邪悪なる大蛇,ピエール・ルメートル,4163918809,https://images-na.ssl-images-amazon.com/images/P/4163918809.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門10_邪悪なる大蛇_ピエール・ルメートル,https://calil.jp/book/4163918809
ローレンス・ブロック__エイレングラフ弁護士の事件簿,エイレングラフ弁護士の事件簿,ローレンス・ブロック,4167922789,https://images-na.ssl-images-amazon.com/images/P/4167922789.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門09_エイレングラフ弁護士の事件簿_ローレンス・ブロック,https://calil.jp/book/4167922789
ベンジャミン・スティーヴンソン__ぼくの家族はみんな誰かを殺してる,ぼくの家族はみんな誰かを殺してる,ベンジャミン・スティーヴンソン,4596961328,https://images-na.ssl-images-amazon.com/images/P/4596961328.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門08_ぼくの家族はみんな誰かを殺してる_ベンジャミン・スティーヴンソン,https://calil.jp/book/4596961328
陸秋槎__喪服の似合う少女,喪服の似合う少女,陸秋槎,415002006X,https://images-na.ssl-images-amazon.com/images/P/415002006X.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門07_喪服の似合う少女_陸秋槎,https://calil.jp/book/415002006X
ヤーン・エクストレム__ウナギの罠,ウナギの罠,ヤーン・エクストレム,4594094066,https://images-na.ssl-images-amazon.com/images/P/4594094066.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門06_ウナギの罠_ヤーン・エクストレム,https://calil.jp/book/4594094066
S・A・コスビー__すべての罪は血を流す,すべての罪は血を流す,S・A・コスビー,4596823960,https://images-na.ssl-images-amazon.com/images/P/4596823960.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門05_すべての罪は血を流す_S・A・コスビー,https://calil.jp/book/4596823960
M・W・クレイヴン__ボタニストの殺人,ボタニストの殺人,M・W・クレイヴン,4151842551,https://images-na.ssl-images-amazon.com/images/P/4151842551.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門04_ボタニストの殺人_M・W・クレイヴン,https://calil.jp/book/4151842551
馬伯庸__両京十五日,両京十五日,馬伯庸,4150020000,https://images-na.ssl-images-amazon.com/images/P/4150020000.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門03_両京十五日_馬伯庸,https://calil.jp/book/4150020000
スティーヴン・キング__ビリー・サマーズ,ビリー・サマーズ,スティーヴン・キング,4163918310,https://images-na.ssl-images-amazon.com/images/P/4163918310.09.LZZZZZZZ,2024_週刊文春ミステリーベスト10_海外部門02_ビリー・サマーズ_スティーヴン・キング,https://calil.jp/book/4163918310
